date	site	transect	species	condition
2014-06-23	HBN2	2	PAST	SA
2014-07-14	HBN2	2	PAST	SA, PE
2014-07-29	HBN2	2	PAST	PE, SA
2014-09-11	HBN2	2	PAST	PBUR, SA
2014-09-22	HBN2	2	PAST	PE, PB, MIS
2015-06-23	HBN2	2	PAST	PE, SED
2015-06-30	HBN2	2	PAST	PE, PBUR
2015-07-09	HBN2	2	PAST	PE, PB
2015-07-14	HBN2	2	PAST	PE, P
2013-10-20	HBN2	2	SSID	NA
2013-10-22	HBN2	2	SSID	FB
2013-11-01	HBN2	2	SSID	FB
2013-11-07	HBN2	2	SSID	PD
2013-11-23	HBN2	2	SSID	PBUR
2013-12-11	HBN2	2	SSID	PE, SA
2014-01-06	HBN2	2	SSID	PB, SA
2014-01-15	HBN2	2	SSID	BUR, BUR
2014-01-27	HBN2	2	SSID	BUR
2014-02-07	HBN2	2	SSID	P
2014-02-17	HBN2	2	SSID	SED
2014-02-22	HBN2	2	SSID	NONE
2014-03-06	HBN2	2	SSID	BUR
2014-03-09	HBN2	2	SSID	PBUR
2014-03-12	HBN2	2	SSID	PBUR
2014-03-21	HBN2	2	SSID	SA, P, PE
2014-03-24	HBN2	2	SSID	SA, PE
2014-04-19	HBN2	2	SSID	P, PE, SED
2014-04-24	HBN2	2	SSID	PE, SA
2014-05-03	HBN2	2	SSID	PE, SA
2014-05-04	HBN2	2	SSID	SA
2014-05-07	HBN2	2	SSID	SA
2014-05-25	HBN2	2	SSID	PD, SED
2014-05-26	HBN2	2	SSID	SA, PD
2014-05-29	HBN2	2	SSID	SA, PD
2014-05-30	HBN2	2	SSID	SA, M, PD
2014-06-06	HBN2	2	SSID	PD, SED
2014-06-14	HBN2	2	SSID	SA, P
2014-06-19	HBN2	2	SSID	PE
2014-06-23	HBN2	2	SSID	SA
2014-07-14	HBN2	2	SSID	P, PM
2014-07-29	HBN2	2	SSID	P
2014-09-11	HBN2	2	SSID	SA, P
2014-09-22	HBN2	2	SSID	P, SED
2015-06-23	HBN2	2	SSID	NONE
2015-06-30	HBN2	2	SSID	PBUR
2015-07-09	HBN2	2	SSID	NONE
2015-07-14	HBN2	2	SSID	PD
2013-10-20	HBN2	2	SSID	NA
2013-10-22	HBN2	2	SSID	NA
2013-11-01	HBN2	2	SSID	SA
2013-11-07	HBN2	2	SSID	NA
2013-11-23	HBN2	2	SSID	PBUR
2013-12-11	HBN2	2	SSID	BUR
2014-01-06	HBN2	2	SSID	SA
2014-01-15	HBN2	2	SSID	BUR, BUR
2014-02-07	HBN2	2	SSID	PBUR
2014-02-17	HBN2	2	SSID	PBUR
2014-02-22	HBN2	2	SSID	SA
2014-03-06	HBN2	2	SSID	NONE
2014-03-09	HBN2	2	SSID	SA
2014-03-12	HBN2	2	SSID	PBUR, P
2014-03-21	HBN2	2	SSID	PBUR, PE
2014-03-24	HBN2	2	SSID	SED
2014-04-19	HBN2	2	SSID	SA, P, PE
2014-04-24	HBN2	2	SSID	SA, M
2014-05-03	HBN2	2	SSID	SED
2014-05-04	HBN2	2	SSID	SED
2014-05-07	HBN2	2	SSID	PBUR, PE
2014-05-25	HBN2	2	SSID	M, SED
2014-05-26	HBN2	2	SSID	SA, M, PD
2014-05-29	HBN2	2	SSID	SA
2014-05-30	HBN2	2	SSID	SA, M
2014-06-06	HBN2	2	SSID	SED
2014-06-14	HBN2	2	SSID	SA, M
2014-06-19	HBN2	2	SSID	SED
2014-06-23	HBN2	2	SSID	SED, M
2014-07-14	HBN2	2	SSID	SA, M, P
2014-07-29	HBN2	2	SSID	P, SA
2014-09-11	HBN2	2	SSID	SA
2014-09-22	HBN2	2	SSID	P, SED
2015-06-23	HBN2	2	SSID	PD
2015-06-30	HBN2	2	SSID	SA
2015-07-09	HBN2	2	SSID	PD
2015-07-14	HBN2	2	SSID	PBUR, P, PD
2013-10-20	HBN2	3	SBOU	FB
2013-10-22	HBN2	3	SBOU	PD, SA
2013-11-01	HBN2	3	SBOU	FB
2013-11-07	HBN2	3	SBOU	PD
2013-11-23	HBN2	3	SBOU	BUR
2013-12-11	HBN2	3	SBOU	PE, PBUR
2014-01-06	HBN2	3	SBOU	BUR
2014-01-15	HBN2	3	SBOU	PBUR, PE, PE, PBUR
2014-01-27	HBN2	3	SBOU	PBUR, PE
2014-02-07	HBN2	3	SBOU	BL, PM, PE
2014-02-17	HBN2	3	SBOU	BUR
2014-02-22	HBN2	3	SBOU	PB
2014-03-06	HBN2	3	SBOU	PBUR, M, PE, SED
2014-03-09	HBN2	3	SBOU	PBUR, PB, PE
